#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]                [Jy]
            -584.103             -0.0935
            -582.871             -0.0934
            -581.639             -0.0934
            -580.408             -0.0933
            -579.176             -0.0932
            -577.945             -0.0932
            -576.713             -0.0931
            -575.482              -0.093
             -574.25              -0.093
            -573.019             -0.0929
            -571.787             -0.0929
            -570.556             -0.0928
            -569.324             -0.0927
            -568.093             -0.0927
            -566.861             -0.0926
             -565.63             -0.0925
            -564.401             -0.0673
             -563.17             -0.0673
            -561.935             -0.0924
            -560.704             -0.0923
            -559.472             -0.0922
            -558.241             -0.0922
            -557.009             -0.0921
            -555.778             -0.0921
            -554.546              -0.092
            -553.315             -0.0919
            -552.083             -0.0919
            -550.852             -0.0918
             -549.62             -0.0917
            -548.389             -0.0917
            -547.157             -0.0916
            -545.926             -0.0916
            -544.697             -0.0663
            -543.462             -0.0914
            -542.231             -0.0914
            -540.999             -0.0913
            -539.771             -0.0661
            -538.539              -0.066
            -537.308              -0.066
            -536.076             -0.0659
            -534.845             -0.0658
             -533.61             -0.0909
            -532.379             -0.0909
            -531.147             -0.0908
            -529.916             -0.0907
            -528.684             -0.0907
            -527.453             -0.0906
            -526.221             -0.0906
             -524.99             -0.0905
            -523.758             -0.0904
            -522.527             -0.0904
            -521.295             -0.0903
            -520.064             -0.0903
            -518.832             -0.0902
            -517.604              -0.065
            -516.369             -0.0901
            -515.138               -0.09
            -513.906             -0.0899
            -512.675             -0.0899
            -511.443             -0.0898
            -510.212             -0.0898
             -508.98             -0.0897
            -507.749             -0.0896
            -506.517             -0.0896
            -505.285             -0.0895
            -504.054             -0.0894
            -502.822             -0.0894
            -501.591             -0.0893
            -500.359             -0.0893
            -499.128             -0.0892
            -497.896             -0.0891
            -496.665             -0.0891
            -495.433              -0.089
            -494.202              -0.089
             -492.97             -0.0889
            -491.739             -0.0888
            -490.507             -0.0888
            -489.276             -0.0887
            -488.044             -0.0886
            -486.813             -0.0886
            -485.581             -0.0885
             -484.35             -0.0885
            -483.118             -0.0884
            -481.887             -0.0883
            -480.655             -0.0883
            -479.424             -0.0882
            -478.189             -0.1133
            -476.958             -0.1132
            -475.726             -0.1132
            -474.495             -0.1131
            -473.263             -0.1131
            -472.032              -0.113
              -470.8             -0.1129
            -469.572             -0.0877
             -468.34             -0.0877
            -467.108             -0.0876
            -465.877             -0.0875
            -464.645             -0.0875
            -463.414             -0.0874
            -462.182             -0.0873
            -460.951             -0.0873
            -459.719             -0.0872
            -458.488             -0.0872
            -457.256             -0.0871
            -456.025              -0.087
            -454.793              -0.087
            -453.562             -0.0869
             -452.33             -0.0868
            -451.099             -0.0868
            -449.867             -0.0867
            -448.636             -0.0867
            -447.404             -0.0866
            -446.173             -0.0865
            -444.941             -0.0865
             -443.71             -0.0864
            -442.478             -0.0864
            -441.247             -0.0863
            -440.015             -0.0862
            -438.784             -0.0862
            -437.552             -0.0861
            -436.321              -0.086
            -435.089              -0.086
            -433.858             -0.0859
            -432.626             -0.0859
            -431.394             -0.0858
            -430.163             -0.0857
            -428.931             -0.0857
              -427.7             -0.0856
            -426.468             -0.0855
            -425.237             -0.0855
            -424.005             -0.0854
            -422.774             -0.0854
            -421.542             -0.0853
            -420.311             -0.0852
            -419.079             -0.0852
            -417.848             -0.0851
            -416.619             -0.0599
            -415.391             -0.0347
            -414.159             -0.0346
            -412.931             -0.0094
            -411.702              0.0158
            -410.471              0.0159
            -409.239               0.016
            -408.011              0.0412
            -406.779              0.0412
            -405.551              0.0665
            -404.322              0.0917
            -403.094              0.1169
            -401.865              0.1421
            -400.637              0.1673
            -399.408              0.1925
            -398.183              0.2429
            -396.955              0.2681
            -395.732              0.3437
            -394.507              0.3941
            -393.284              0.4696
            -392.059                0.52
             -390.83              0.5452
            -389.611              0.6459
            -388.382              0.6711
            -387.163              0.7718
            -385.938              0.8222
            -384.721               0.948
            -383.496              0.9984
            -382.279              1.1242
            -381.054              1.1746
            -379.841              1.3256
            -378.627              1.4766
            -377.417              1.6528
            -376.201              1.7786
            -374.981              1.8793
            -373.765              2.0052
             -372.54              2.0555
            -371.326              2.2066
            -370.104              2.2821
            -368.884              2.3828
            -367.659              2.4331
            -366.443               2.559
            -365.214              2.5842
            -363.995              2.6849
            -362.772              2.7604
             -361.55               2.836
            -360.324              2.8864
            -359.099              2.9367
             -357.88              3.0374
            -356.654              3.0878
