#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
              3293.5          -0.009163
              3288.3           0.011913
                3283           0.006895
              3277.7           0.003523
              3272.5           0.015834
              3267.2           0.022384
              3261.9           0.018155
              3256.7           0.014838
              3251.4           0.029138
              3246.1           0.025441
              3240.9           0.010440
              3235.6          -0.013339
              3230.3          -0.007512
              3225.1           0.008533
              3219.8           0.013549
              3214.6           0.013102
              3209.3           0.012082
                3204           0.014153
              3198.8           0.023056
              3193.5           0.018032
              3188.2           0.010796
                3183          -0.002014
              3177.7          -0.005656
              3172.4          -0.007326
              3167.2          -0.009774
              3161.9          -0.020008
              3156.7          -0.024353
              3151.4          -0.031959
              3146.1          -0.015910
              3140.9           0.005020
              3135.6           0.009910
              3130.4          -0.006280
              3125.1          -0.015794
              3119.8          -0.001683
              3114.6           0.021999
              3109.3           0.014454
                3104          -0.017512
              3098.8          -0.036861
              3093.5          -0.025452
              3088.3          -0.007561
                3083          -0.003735
              3077.8          -0.012384
              3072.5          -0.011114
              3067.2          -0.017992
                3062          -0.012999
              3056.7          -0.003063
              3051.5          -0.004519
              3046.2          -0.000039
              3040.9           0.011736
              3035.7           0.006180
              3030.4          -0.017736
              3025.2          -0.028825
              3019.9          -0.003320
              3014.7           0.006610
              3009.4          -0.002804
              3004.1           0.010182
              2998.9           0.025243
              2993.6           0.000433
              2988.4          -0.015690
              2983.1          -0.013034
              2977.9          -0.003658
              2972.6           0.002173
              2967.3           0.014514
              2962.1           0.008420
              2956.8          -0.003273
              2951.6          -0.001863
              2946.3          -0.002274
              2941.1          -0.013540
              2935.8          -0.021050
              2930.6          -0.025402
              2925.3          -0.010433
              2920.1          -0.002805
              2914.8          -0.006254
              2909.5           0.018347
              2904.3           0.053568
                2899           0.041083
              2893.8           0.016658
              2888.5          -0.004283
              2883.3          -0.017854
                2878          -0.018315
              2872.8           0.006045
              2867.5           0.013991
              2862.3          -0.001782
                2857          -0.014307
              2851.8          -0.007363
              2846.5           0.006710
              2841.3           0.021262
                2836           0.014985
              2830.8          -0.004453
              2825.5          -0.022654
              2820.3          -0.024553
                2815          -0.012042
              2809.8          -0.004554
              2804.5           0.000048
              2799.3           0.011380
                2794          -0.000431
              2788.8          -0.002852
              2783.5           0.011484
              2778.3           0.011988
                2773           0.006266
              2767.8           0.015097
              2762.5           0.011143
              2757.3           0.001063
                2752          -0.008284
              2746.8          -0.019274
              2741.5          -0.019654
              2736.3           0.007685
                2731           0.018186
              2725.8           0.021158
              2720.5           0.022078
              2715.3           0.019693
              2710.1           0.020856
              2704.8           0.013234
              2699.6          -0.011266
              2694.3          -0.028268
              2689.1          -0.035635
              2683.8          -0.018415
              2678.6          -0.008081
              2673.3           0.002196
              2668.1           0.002784
              2662.8          -0.003252
              2657.6           0.000630
              2652.4           0.006108
              2647.1           0.003181
              2641.9           0.015466
              2636.6           0.011375
              2631.4           0.014585
              2626.1           0.022954
              2620.9           0.021941
              2615.6           0.005422
              2610.4           0.013609
              2605.2           0.029674
              2599.9           0.020582
              2594.7           0.005030
              2589.4           0.017586
              2584.2           0.001917
              2578.9          -0.023125
              2573.7          -0.009692
              2568.5           0.007644
              2563.2          -0.003103
                2558          -0.010537
              2552.7          -0.005593
              2547.5           0.006290
              2542.3          -0.002861
                2537          -0.013340
