#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
             -1852.4          -5.672080
             -1844.3          -5.647900
             -1836.1          -4.768730
               -1828          -4.186560
             -1819.8          -3.862390
             -1811.7          -3.600230
             -1803.5          -3.257070
             -1795.4          -2.843920
             -1787.2          -2.487770
             -1779.1          -2.193620
             -1770.9          -1.867480
             -1762.8          -1.614340
             -1754.7          -1.447210
             -1746.5          -1.318080
             -1738.4          -1.230950
             -1730.2          -1.097830
             -1722.1          -0.936908
             -1713.9          -0.809191
             -1705.8          -0.753278
             -1697.6          -0.736769
             -1689.5          -0.647263
             -1681.3          -0.520260
             -1673.1          -0.450161
               -1665          -0.414964
             -1656.8          -0.383372
             -1648.7          -0.318882
             -1640.5          -0.223996
             -1632.4          -0.156112
             -1624.2          -0.116132
             -1616.1          -0.067455
             -1607.9          -0.022931
             -1599.8          -0.015720
             -1591.6          -0.002191
             -1583.4           0.017664
             -1575.3           0.021236
             -1567.1           0.021986
               -1559           0.017913
             -1550.8           0.020747
             -1542.6           0.024408
             -1534.5           0.025247
             -1526.3           0.039301
             -1518.2           0.047655
               -1510           0.036496
             -1501.8           0.016396
             -1493.7          -0.010768
             -1485.5          -0.026335
             -1477.4          -0.019134
             -1469.2           0.003225
               -1461           0.010331
             -1452.9          -0.005105
             -1444.7           0.004257
             -1436.5           0.015546
             -1428.4          -0.000226
             -1420.2          -0.004571
               -1412          -0.003748
             -1403.9          -0.031267
             -1395.7          -0.055589
             -1387.5          -0.054182
             -1379.4          -0.048227
             -1371.2          -0.025684
               -1363          -0.002024
             -1354.8          -0.007625
             -1346.7          -0.018858
             -1338.5          -0.015292
             -1330.3          -0.006039
             -1322.2           0.007063
               -1314           0.024063
             -1305.8           0.016861
             -1297.6          -0.007003
             -1289.5          -0.018188
             -1281.3          -0.017815
             -1273.1          -0.007083
             -1264.9          -0.006793
             -1256.8          -0.021974
             -1248.6          -0.017517
             -1240.4           0.008359
             -1232.2           0.029483
             -1224.1           0.035476
             -1215.9           0.017787
             -1207.7          -0.004653
             -1199.5          -0.004244
             -1191.4           0.005284
             -1183.2           0.011570
               -1175           0.006835
             -1166.8           0.007979
             -1158.6           0.031652
             -1150.5           0.033053
             -1142.3           0.013224
             -1134.1           0.000753
             -1125.9          -0.009618
             -1117.7          -0.011891
             -1109.5          -0.002275
             -1101.4           0.018581
             -1093.2           0.021595
               -1085           0.006099
             -1076.8           0.013811
             -1068.6           0.028013
             -1060.4           0.035174
             -1052.2           0.038442
             -1044.1           0.021983
             -1035.9           0.006432
             -1027.7           0.007660
             -1019.5           0.007407
             -1011.3           0.004693
             -1003.1           0.007559
              -994.9          -0.000606
              -986.7          -0.011771
              -978.5          -0.000207
              -970.4           0.023796
              -962.2           0.032819
                -954           0.029251
              -945.8           0.030803
              -937.6           0.021275
              -929.4           0.007196
              -921.2          -0.002294
                -913          -0.010594
              -904.8          -0.013364
              -896.6          -0.023024
              -888.4          -0.031195
              -880.2          -0.022287
                -872          -0.011928
              -863.8          -0.025440
              -855.6          -0.034952
              -847.4          -0.018224
              -839.2          -0.015456
                -831          -0.027309
              -822.8          -0.023482
              -814.6          -0.022415
              -806.4          -0.020877
              -798.2          -0.005801
                -790           0.007716
              -781.8           0.005103
              -773.6          -0.031340
              -765.4          -0.050483
              -757.2          -0.035047
                -749          -0.036290
              -740.8          -0.040043
