#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]                [Jy]
            -615.301             -0.0095
            -611.206             -0.0085
             -607.11             -0.0075
             -602.89              0.0029
            -598.683              0.0122
            -594.616              0.0112
            -590.562              0.0091
            -586.522               0.006
            -582.468              0.0039
              -578.4              0.0029
            -574.347              0.0008
            -570.265              0.0008
            -566.183              0.0008
            -562.102              0.0008
            -558.006              0.0018
            -553.925              0.0018
            -549.829              0.0028
            -545.748              0.0028
            -541.666              0.0028
            -537.598              0.0018
            -533.517              0.0018
            -529.435              0.0018
             -525.34              0.0028
            -521.258              0.0028
            -517.177              0.0028
            -513.095              0.0028
            -508.999              0.0038
            -504.918              0.0038
            -500.836              0.0038
            -496.755              0.0038
            -492.687              0.0028
            -488.647             -0.0003
            -484.593             -0.0024
            -480.553             -0.0055
            -476.499             -0.0076
            -472.446             -0.0097
            -468.392             -0.0117
            -464.324             -0.0128
            -460.243             -0.0128
            -456.147             -0.0118
            -452.038             -0.0097
            -447.928             -0.0076
            -443.805             -0.0045
             -439.71             -0.0035
              -435.6             -0.0014
            -431.505             -0.0004
            -427.437             -0.0014
            -423.383             -0.0035
            -419.316             -0.0045
            -415.248             -0.0056
            -411.152             -0.0045
            -407.057             -0.0035
            -402.962             -0.0025
            -398.866             -0.0014
            -394.771             -0.0004
            -390.675              0.0006
            -386.594              0.0006
            -382.526             -0.0004
            -378.458             -0.0015
             -374.39             -0.0025
            -370.323             -0.0035
            -366.255             -0.0046
            -362.187             -0.0056
             -358.12             -0.0067
            -354.066             -0.0087
            -349.998             -0.0098
             -345.93             -0.0108
            -341.863             -0.0118
            -337.781             -0.0119
            -333.686             -0.0108
             -329.59             -0.0098
            -325.495             -0.0088
            -321.385             -0.0067
            -317.304             -0.0067
            -313.194             -0.0046
            -309.099             -0.0036
             -304.99             -0.0015
            -300.894             -0.0005
            -296.785              0.0016
            -292.661              0.0047
            -288.566              0.0057
            -284.457              0.0078
            -280.361              0.0088
             -276.28              0.0088
            -272.198              0.0088
            -268.116              0.0088
            -264.035              0.0088
            -259.953              0.0088
            -255.872              0.0088
            -251.804              0.0078
            -247.736              0.0067
            -243.655              0.0067
            -239.573              0.0067
            -235.478              0.0077
            -231.354              0.0109
            -227.259              0.0119
             -223.15               0.014
             -219.04               0.016
            -214.931              0.0181
            -210.835              0.0191
            -206.768              0.0181
            -202.728               0.015
            -198.702              0.0108
            -194.676              0.0067
            -190.677              0.0005
             -186.61             -0.0006
             -182.57             -0.0037
            -178.516             -0.0058
            -174.407             -0.0037
            -170.283             -0.0006
            -166.174              0.0015
            -162.065              0.0035
            -157.969              0.0046
            -153.901              0.0035
            -149.834              0.0025
            -145.766              0.0015
            -141.712             -0.0006
            -137.644             -0.0017
            -133.563             -0.0017
            -129.467             -0.0006
            -125.386             -0.0006
            -121.318             -0.0017
            -117.264             -0.0038
             -113.21             -0.0058
            -109.198              -0.011
            -105.158             -0.0141
            -101.105             -0.0162
             -97.051             -0.0183
             -93.011             -0.0214
             -88.929             -0.0214
              -84.82             -0.0193
             -80.697             -0.0162
             -76.559             -0.0121
             -72.409             -0.0069
             -68.299             -0.0048
             -64.176             -0.0017
             -60.025              0.0035
             -55.902              0.0066
             -51.806              0.0076
             -47.711              0.0086
             -43.615              0.0097
             -39.534              0.0097
             -35.452              0.0096
              -31.37              0.0096
             -27.303              0.0086
             -23.221              0.0086
             -19.154              0.0076
             -15.086              0.0065
             -11.018              0.0055
               -6.95              0.0044
              -2.883              0.0034
               1.185              0.0024
