#                      Published-Value
#      Spectral-axis          Intensity
#             [km/s]               [Jy]            
            -118.812          -0.001947
            -118.013          -0.001945
            -117.209          -0.002340
            -116.413          -0.001942
            -115.613          -0.001941
            -114.813          -0.001939
            -114.013          -0.001938
            -113.213          -0.001936
            -112.413          -0.001934
            -111.613          -0.001933
            -110.813          -0.001931
            -110.013          -0.001930
            -109.213          -0.001928
            -108.413          -0.001926
            -107.613          -0.001925
            -106.813          -0.001923
            -106.013          -0.001922
            -105.213          -0.001920
            -104.413          -0.001919
            -103.613          -0.001917
            -102.813          -0.001915
            -102.013          -0.001914
            -101.213          -0.001912
            -100.413          -0.001911
             -99.613          -0.001909
             -98.813          -0.001907
             -98.013          -0.001906
             -97.213          -0.001904
             -96.413          -0.001903
             -95.613          -0.001901
             -94.813          -0.001900
             -94.013          -0.001898
              -93.21          -0.002292
              -92.41          -0.002291
              -91.61          -0.002289
              -90.81          -0.002288
             -90.007          -0.002682
             -89.207          -0.002680
             -88.407          -0.002679
             -87.607          -0.002677
             -86.807          -0.002676
             -86.007          -0.002674
             -85.203          -0.003068
             -84.403          -0.003067
             -83.603          -0.003065
             -82.803          -0.003064
                 -82          -0.003458
             -81.197          -0.003852
             -80.397          -0.003851
             -79.594          -0.004245
             -78.791          -0.004640
             -77.984          -0.005430
             -77.181          -0.005824
             -76.378          -0.006219
             -75.572          -0.007009
             -74.765          -0.007799
             -73.956          -0.008986
             -73.146          -0.010172
             -72.336          -0.011358
             -71.527          -0.012544
             -70.714          -0.014127
             -69.904          -0.015313
             -69.085          -0.017687
             -68.257          -0.021249
             -67.434          -0.024019
             -66.612          -0.026789
             -65.786          -0.029955
             -64.957          -0.033517
             -64.125          -0.037475
             -63.306          -0.039849
             -62.497          -0.041036
             -61.697          -0.041034
             -60.919          -0.038261
             -60.151          -0.034300
              -59.38          -0.030735
             -58.621          -0.025585
             -57.876          -0.018853
             -57.124          -0.012912
             -56.375          -0.006575
             -55.607          -0.002614
             -54.861           0.004119
             -54.068           0.004912
             -53.255           0.003330
             -52.513           0.010459
             -51.713           0.010461
             -50.906           0.009670
             -50.103           0.009276
               -49.3           0.008881
             -48.494           0.008091
             -47.687           0.007301
             -46.884           0.006906
             -46.078           0.006116
             -45.274           0.005722
             -44.474           0.005723
             -43.675           0.005725
             -42.871           0.005331
             -42.071           0.005332
             -41.268           0.004938
             -40.465           0.004543
             -39.665           0.004545
             -38.865           0.004547
             -38.065           0.004548
             -37.265           0.004550
             -36.465           0.004551
             -35.665           0.004553
             -34.865           0.004555
             -34.062           0.004160
             -33.262           0.004162
             -32.462           0.004163
             -31.659           0.003769
             -30.859           0.003771
             -30.059           0.003772
             -29.259           0.003774
             -28.459           0.003775
             -27.655           0.003381
             -26.855           0.003382
             -26.052           0.002988
             -25.249           0.002594
             -24.449           0.002595
             -23.646           0.002201
             -22.846           0.002203
             -22.046           0.002204
             -21.246           0.002206
             -20.446           0.002207
             -19.646           0.002209
             -18.846           0.002210
             -18.046           0.002212
             -17.249           0.002610
             -16.449           0.002611
             -15.656           0.003405
             -14.859           0.003802
             -14.062           0.004200
             -13.259           0.003805
