#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
                71.2           0.144800
                76.7          -0.831600
                82.2          -0.218900
                87.7          -0.094900
                93.2          -0.020800
                98.7           0.010200
               104.2          -0.011800
               109.7          -0.012100
               115.2          -0.034800
               120.7          -0.023700
               126.2          -0.014900
               131.7          -0.003500
               137.2          -0.002300
               142.7          -0.017600
               148.2          -0.023300
               153.7          -0.021200
               159.2          -0.016100
               164.7          -0.019900
               170.2          -0.023800
               175.7          -0.019200
               181.2          -0.008300
               186.7          -0.000900
               192.2           0.000000
               197.7          -0.002500
               203.2          -0.006200
               208.7          -0.007400
               214.2          -0.008100
               219.7          -0.009300
               225.3          -0.009000
               230.8          -0.007800
               236.3          -0.005900
               241.8          -0.007300
               247.3          -0.008200
               252.8          -0.003100
               258.3          -0.003400
               263.8          -0.006600
               269.3          -0.003200
               274.8           0.000700
               280.3           0.006500
               285.8           0.010500
               291.3           0.005500
               296.8           0.001200
               302.3           0.005600
               307.8           0.013700
               313.4           0.019600
               318.9           0.021450
               324.4           0.024310
               329.9           0.034460
               335.4           0.045940
               340.9           0.058760
               346.4           0.083800
               351.9           0.117900
               357.4           0.155600
               362.9           0.202900
               368.4           0.265100
                 374           0.340100
               379.5           0.412300
                 385           0.477400
               390.5           0.533600
                 396           0.565300
               401.5           0.575100
                 407           0.568600
               412.5           0.559300
                 418           0.569100
               423.5           0.590800
               429.1           0.603000
               434.6           0.601700
               440.1           0.590100
               445.6           0.573700
               451.1           0.557800
               456.6           0.541400
               462.1           0.524800
               467.7           0.511000
               473.2           0.503400
               478.7           0.496200
               484.2           0.486700
               489.7           0.479900
               495.2           0.473300
               500.7           0.469000
               506.3           0.468600
               511.8           0.466000
               517.3           0.459900
               522.8           0.444500
               528.3           0.410900
               533.8           0.352800
               539.3           0.280100
               544.9           0.218000
               550.4           0.171300
               555.9           0.137300
               561.4           0.118900
               566.9           0.110500
               572.4           0.103700
                 578           0.097290
               583.5           0.096560
                 589           0.097430
               594.5           0.094380
                 600           0.089060
               605.6           0.082870
               611.1           0.078220
               616.6           0.080450
               622.1           0.081690
               627.6           0.080700
               633.1           0.090210
               638.7           0.098190
               644.2           0.094520
               649.7           0.088510
               655.2           0.085140
               660.7           0.082990
               666.3           0.078630
               671.8           0.068270
               677.3           0.056370
               682.8           0.051640
               688.4           0.048520
               693.9           0.042200
               699.4           0.036550
               704.9           0.032760
               710.4           0.030860
                 716           0.028210
               721.5           0.020460
                 727           0.013000
               732.5           0.014600
               738.1           0.016100
               743.6           0.015000
               749.1           0.019700
               754.6           0.024730
               760.2           0.024150
               765.7           0.021890
               771.2           0.022320
               776.7           0.021480
               782.3           0.019300
               787.8           0.020150
               793.3           0.020920
               798.8           0.020770
               804.4           0.020290
               809.9           0.020140
               815.4           0.017700
               820.9           0.012800
               826.5           0.013400
                 832           0.017400
               837.5           0.018800
                 843           0.021050
               848.6           0.020740
               854.1           0.016500
               859.6           0.015000
               865.2           0.014000
               870.7           0.015500
               876.2           0.020510
               881.7           0.023210
               887.3           0.023600
               892.8           0.022640
               898.3           0.020510
               903.9           0.014900
               909.4           0.010800
               914.9           0.012800
               920.4           0.012900
                 926           0.011500
               931.5           0.014100
                 937           0.017800
               942.6           0.019100
               948.1           0.016000
               953.6           0.012700
               959.2           0.014300
               964.7           0.014700
               970.2           0.015200
               975.8           0.021190
               981.3           0.024860
               986.8           0.023590
               992.4           0.019800
               997.9           0.016000
              1003.4           0.015700
                1009           0.016100
              1014.5           0.014000
                1020           0.013900
              1025.6           0.017100
              1031.1           0.019100
              1036.6           0.019200
              1042.2           0.018400
              1047.7           0.021310
              1053.2           0.022550
              1058.8           0.015400
              1064.3           0.011100
              1069.8           0.016300
              1075.4           0.025000
              1080.9           0.030280
              1086.4           0.025260
                1092           0.022250
              1097.5          -0.003800
              1103.1          -0.004700
              1108.6           0.052440
              1114.1           0.024940
              1119.7          -0.075700
              1125.2           2.840000
